"Team","SoT","Opp_Saves","PKatt","SCA_PassLive","Short_Att","Dist","Clr","TklW","TB","Crosses_Att"
"Arsenal",4.62280701754386,2.95614035087719,0.114035087719298,15.7280701754386,215.30701754386,16.55,21.9736842105263,9.68421052631579,1.17543859649123,8.1578947368421
"Aston-Villa",3.84210526315789,2.78947368421053,0.0789473684210526,14.4473684210526,131.552631578947,16.9894736842105,26.2894736842105,9.23684210526316,0.526315789473684,10.7894736842105
"Bournemouth",3.70175438596491,2.59649122807018,0.140350877192982,12.1754385964912,159.280701754386,16.6798245614035,23,10.9035087719298,0.824561403508772,8.71052631578947
"Brighton-and-Hove-Albion",3.05263157894737,2.24561403508772,0.131578947368421,11.6052631578947,151.491228070175,17.4736842105263,20.2982456140351,9.19298245614035,0.5,9.31578947368421
"Burnley",3.24561403508772,2.23684210526316,0.043859649122807,9.67543859649123,129.017543859649,15.8982456140351,26.1491228070175,8,0.552631578947368,9.49122807017544
"Cardiff-City",2.97368421052632,2.15789473684211,0.105263157894737,9.89473684210526,102.657894736842,16.6552631578947,25.6052631578947,9.23684210526316,0.631578947368421,8.05263157894737
"Chelsea",5.36842105263158,3.78947368421053,0.131578947368421,20.1842105263158,249.342105263158,16.7912280701754,24.0438596491228,11.280701754386,1.10526315789474,9.92982456140351
"Crystal-Palace",3.3859649122807,2.48245614035088,0.210526315789474,11.9736842105263,159.377192982456,16.9771929824561,22.4912280701754,11.5964912280702,0.614035087719298,7.98245614035088
"Everton",3.71052631578947,2.57894736842105,0.12280701754386,11.7017543859649,154.570175438596,16.4385964912281,24.719298245614,10.5701754385965,0.833333333333333,9.47368421052632
"Fulham",3.63157894736842,2.81578947368421,0.0789473684210526,14.2105263157895,193.289473684211,18.5526315789474,18.3157894736842,11.7631578947368,0.578947368421053,7.86842105263158
"Huddersfield-Town",2.96052631578947,2.38157894736842,0.0394736842105263,10.4210526315789,159.236842105263,18.6565789473684,23.5526315789474,10.0131578947368,0.473684210526316,11.1578947368421
"Leicester-City",4.31578947368421,2.97368421052632,0.175438596491228,14.0350877192982,180.964912280702,17.1938596491228,22.6929824561403,10.1929824561404,1.10526315789474,9.85087719298246
"Liverpool",5.79824561403509,3.67543859649123,0.131578947368421,18.6315789473684,227.464912280702,16.3456140350877,28.2719298245614,10.4298245614035,1.85087719298246,9.81578947368421
"Manchester-City",6.57894736842105,4.10526315789474,0.201754385964912,23.1052631578947,291.473684210526,16.5710526315789,23.219298245614,10.3684210526316,2.29824561403509,9.62280701754386
"Manchester-United",5.1140350877193,3.54385964912281,0.254385964912281,17.3947368421053,224.280701754386,17.9561403508772,21.2894736842105,11.0526315789474,0.956140350877193,8.81578947368421
"Newcastle-United",3.65789473684211,2.63157894736842,0.043859649122807,11.9035087719298,134.114035087719,18.7833333333333,22.1578947368421,10,0.491228070175439,8.78070175438597
"Norwich-City",3.26315789473684,2.60526315789474,0.0526315789473684,12.2894736842105,196.263157894737,17.5315789473684,20.1842105263158,11.7368421052632,1,5
"Sheffield-United",2.86842105263158,1.94736842105263,0.0263157894736842,10.5789473684211,156.552631578947,14.7052631578947,31.5526315789474,8.18421052631579,0.578947368421053,10.6052631578947
"Southampton",4.02631578947368,2.92982456140351,0.114035087719298,13.280701754386,165.833333333333,17.7061403508772,25.9210526315789,9.45614035087719,0.947368421052632,9.53508771929824
"Stoke-City",3.21052631578947,2.28947368421053,0.0789473684210526,11.1315789473684,125.631578947368,17.9552631578947,15.6578947368421,7.47368421052632,0.394736842105263,8.52631578947368
"Swansea-City",2.60526315789474,1.89473684210526,0.0263157894736842,8.44736842105263,157.421052631579,16.9342105263158,19.6578947368421,9.28947368421053,0.105263157894737,9.94736842105263
"Tottenham-Hotspur",4.83333333333333,3.21052631578947,0.0964912280701754,16.4210526315789,205.315789473684,17.6912280701754,24.8508771929825,11.8947368421053,0.964912280701754,9.37719298245614
"Watford",3.45614035087719,2.39473684210526,0.131578947368421,12.1052631578947,162.254385964912,16.7350877192982,26.6228070175439,10.4473684210526,0.657894736842105,9.89473684210526
"West-Bromwich-Albion",2.84210526315789,2.05263157894737,0.0263157894736842,10.7368421052632,124.447368421053,17.4210526315789,20.2105263157895,9.63157894736842,0.421052631578947,11.7368421052632
"West-Ham-United",3.80701754385965,2.56140350877193,0.114035087719298,11.8859649122807,168.885964912281,16.3771929824561,21.8859649122807,10.2456140350877,0.754385964912281,9.07894736842105
"Wolverhampton-Wanderers",3.76315789473684,2.59210526315789,0.105263157894737,13.0657894736842,161.197368421053,17.0526315789474,23.1447368421053,11.3026315789474,0.868421052631579,8.57894736842105
